2026-01-07, 185.0, 50.0, 14.0, 24.09
2026-01-07, 205.0, 60.0, 15.0, 39.92
2026-01-07, 205.0, 55.0, 16.0, 37.70
2026-01-07, 205.0, 55.0, 16.0, 37.70
2026-01-07, 195.0, 60.0, 15.0, 35.69
2026-01-07, 215.0, 55.0, 17.0, 43.93
2026-01-07, 175.0, 65.0, 17.0, 34.12
2026-01-07, 207.0, 55.0, 14.0, 34.76
2026-01-07, 205.0, 60.0, 15.0, 39.92
2026-01-07, 205.0, 60.0, 14.0, 37.91
2026-01-07, 212.0, 50.0, 14.0, 32.59
2026-01-07, 215.0, 60.0, 14.0, 42.22
2026-01-07, 259.0, 57.0, 15.0, 63.50
2026-01-07, 300.0, 50.0, 16.0, 78.66, 07045084903
2026-01-08, 215.0, 50.0, 14.0, 33.63, 
2026-01-08, 215.0, 50.0, 15.0, 35.47, N/A
2026-01-08, 215.0, 55.0, 17.0, 43.93, 07058056809
2026-01-08, 216.0, 66.0, 14.0, 48.19, +234-09076487052
2026-01-08, 213.0, 64.0, 15.0, 47.19, +44-066789532567
2026-01-08, 234.0, 64.0, 16.0, 61.23, N/A-N/A
2026-01-08, 213.0, 45.0, 14.0, 28.96, N/A-N/A
2026-01-08, 312.0, 58.0, 13.0, 90.67, N/A-N/A
2026-01-08, 312.0, 55.0, 14.0, 88.67, N/A-N/A
2026-01-08, 156.0, 50.0, 12.0, 14.63, N/A-N/A
2026-01-08, 322.0, 54.0, 14.0, 93.13, N/A-N/A
2026-01-08, 512.0, 45.0, 14.0, 217.17, N/A-N/A
2026-01-08, 124.0, 56.0, 14.0, 11.50, N/A-N/A
2026-01-08, 321.0, 53.0, 14.0, 90.20, +234-080760040033
2026-01-08, 234.0, 56.0, 14.0, 46.88, +234-UHEER
2026-01-08, 321.0, 54.0, 14.0, 92.46, 123-4569876543
